route,score,label
grounded,1.0,1
grounded,1.0321292e-12,0
grounded,0.99989504,1
closedbook,3.8567852e-13,0
grounded,0.9999989,1
closedbook,1.0,1
closedbook,5.5796383e-12,0
grounded,8.543782e-10,0
grounded,1.0,1
grounded,0.33335048,1
math,0.6666667,0
grounded,1.15627515e-10,1
math,1.0,1
math,0.0,0
grounded,0.9999976,1
closedbook,1.8477224e-10,0
closedbook,0.10000002,0
grounded,0.9999954,1
grounded,2.3997724e-12,0
closedbook,9.018645e-14,0
grounded,2.2475901e-06,0
grounded,0.9997913,1
closedbook,0.100006305,0
math,1.0,1
math,0.0,0
grounded,0.16691059,1
closedbook,3.7969915e-13,0
closedbook,3.1430816e-10,0
closedbook,1.3047337e-12,0
closedbook,0.77723527,1
grounded,7.153621e-09,0
grounded,0.99999976,1
closedbook,1.0,0
grounded,1.5494096e-12,0
closedbook,0.9927482,0
grounded,7.2772205e-12,0
math,1.0,1
grounded,1.0,1
closedbook,5.02263e-10,0
grounded,3.3317541e-12,0
closedbook,0.25000003,1
grounded,1.0,1
closedbook,1.0,1
math,1.0,1
closedbook,0.5000699,1
closedbook,1.3122051e-13,1
closedbook,0.5019727,1
closedbook,0.9681425,1
closedbook,0.50000525,1
grounded,0.0016883065,0
grounded,3.138351e-07,1
grounded,1.0,1
closedbook,2.793846e-14,0
closedbook,5.324128e-12,0
grounded,0.99514574,1
grounded,4.3887255e-11,0
grounded,0.037929095,0
closedbook,0.9996223,1
math,0.0,0
closedbook,0.999852,1
grounded,0.34482202,1
grounded,0.99999994,1
grounded,3.016324e-11,1
closedbook,1.0862199e-10,0
grounded,0.9999793,1
grounded,1.0,1
closedbook,3.345793e-10,1
grounded,4.6717737e-11,0
closedbook,0.3000699,1
grounded,1.0,1
math,0.0,0
closedbook,0.9996769,1
grounded,0.99999964,1
closedbook,0.9997236,1
closedbook,0.10000022,0
closedbook,1.0,1
grounded,3.229247e-12,0
grounded,5.241585e-12,0
grounded,0.5522451,1
closedbook,0.20000784,1
grounded,3.011787e-08,1
grounded,2.7695853e-07,0
grounded,0.9990366,1
